Nr,CLASS,GENDER,AGE,HEIGHT,SPORTS,TV,COMPUTER,SUBJECT,ALLOWANCE,WORK,PROVINCE,BREAKFAST
222,2,Girl,13,165,4,7,1,Mathematics,13,0,23,Yes
223,2,Boy,13,158,2,7,7,Sports,5,35,23,Yes
224,2,Boy,13,155,2,15,8,Biology,5,0,23,Yes
225,2,Boy,13,170,10,8,6,Biology,8,0,23,Yes
226,2,Boy,12,170,0,14,5,English language,6,0,23,Yes
227,2,Boy,12,150,6,5,1,Biology,6,0,23,Yes
228,2,Boy,13,172,5,9,5,Economics,20,0,23,Yes
229,2,Boy,13,170,6,30,6,Sports,15,0,23,Yes
230,2,Girl,13,155,5,25,15,Sports,10,0,23,Yes
231,2,Girl,13,157,2,1,2,German,10,0,23,Yes
232,2,Boy,13,168,4,10,2,Sports,15,0,23,Yes
233,2,Boy,13,164,6,8,4,Engineering,5,0,23,Yes
234,2,Boy,13,172,6,15,4,History,15,0,23,Brought something
235,2,Boy,13,170,3,6,3,Sports,10,0,23,Yes
236,2,Girl,14,170,18,7,4,Sports,10,0,23,Yes
237,2,Boy,13,159,6,7,2,Nursing,5,0,23,Yes
238,2,Boy,13,170,6,25,7,Sports,10,0,23,No
239,2,Girl,13,167,16,12,1,Biology,1,0,23,Yes
240,2,Girl,14,171,3,15,0,German,20,0,23,Yes
241,2,Girl,14,165,8,49,8,Nursing,40,0,23,Yes
242,2,Boy,14,165,4,25,3,History,25,30,23,Yes
243,2,Girl,13,165,1,15,3,Biology,25,0,23,Yes
244,2,Boy,14,169,2,30,12,Other,15,0,23,Yes
245,2,Girl,13,168,2,40,2,Biology,10,50,23,Yes
246,2,Boy,14,175,5,4,2,Sports,10,40,23,Yes
247,2,Boy,14,180,6,50,50,English language,10,100,23,Yes
248,2,Girl,13,155,13,10,2,Dance,6,0,23,Brought something
249,2,Girl,13,148,1,10,7,Engineering,15,0,23,Yes
250,2,Boy,14,150,5,25,3,Biology,75,25,23,Yes
251,2,Boy,13,175,1,10,7,History,11,0,23,Yes
252,2,Girl,13,162,2,18,3,Nursing,10,0,23,Yes
253,2,Girl,14,167,3,40,1,Sports,10,16,23,Yes
254,2,Boy,13,166,7,2,2,Engineering,20,80,23,Brought something
255,2,Boy,13,154,4,8,20,Sports,10,58,23,Yes
256,2,Boy,12,162,4,7,0,Physics & Chemisty,35,0,23,Brought something
257,2,Boy,12,174,14,10,0,Mathematics,10,40,23,Yes
258,2,Boy,13,175,15,20,30,History,20,0,23,Yes
259,2,Girl,13,164,2,21,3,English language,7,25,23,Yes
260,2,Girl,14,180,4,10,2,Other,10,0,23,No
261,2,Boy,13,171,5,9,28,Computer Science,20,15,23,Yes
262,2,Girl,13,165,5,7,3,Engineering,10,0,23,Yes
263,2,Boy,13,160,4,21,4,Engineering,10,0,23,Yes
264,2,Girl,14,170,6,9,2,History,0,0,23,Yes
265,2,Girl,15,172,0,4,2,Mathematics,25,0,23,Yes
266,2,Boy,13,170,7,19,10,Sports,10,0,23,Yes
267,2,Girl,13,170,2,7,7,Sports,15,0,23,Yes
268,2,Boy,13,160,0,5,9,Engineering,5,0,23,Yes
269,2,Girl,14,175,2,5,3,Engineering,5,25,23,Yes
270,2,Boy,15,167,6,20,5,History,25,150,23,Brought something
271,2,Girl,13,175,7,60,60,Sports,20,25,23,Yes
272,2,Boy,13,165,9,4,2,Sports,10,0,23,Yes
273,2,Boy,14,166,4,19,5,Sports,50,0,23,Yes
274,2,Boy,13,164,2,15,8,Engineering,6,100,23,Brought something
275,2,Boy,14,178,0,48,32,Physics & Chemisty,10,0,23,Yes
276,2,Boy,14,175,0,12,30,Engineering,15,0,23,Yes
277,2,Girl,13,164,5,2,7,English language,25,0,23,Yes
278,2,Boy,13,164,0,15,5,Physics & Chemisty,5,0,23,Yes
279,2,Boy,13,180,7,21,10,Sports,25,0,23,Yes
280,2,Girl,13,167,3,2,2,Other,10,0,23,Yes
281,1,Boy,12,168,4,18,4,History,2,0,23,Yes
282,1,Girl,12,160,0,21,0,English language,10,0,23,No
283,1,Boy,12,165,11,35,21,History,5,12,23,Yes
284,1,Boy,12,155,10,8,2,Mathematics,0,0,23,Yes
285,1,Boy,13,167,16,5,40,Engineering,7,15,23,Yes
286,1,Girl,12,145,5,45,14,English language,10,5,23,Yes
287,1,Girl,12,158,4,7,1,Sports,6,0,23,Yes
288,1,Girl,12,160,7,22,8,Sports,5,0,23,Yes
289,1,Boy,12,160,5,8,10,French language,8,0,23,Yes
290,1,Girl,12,162,9,7,0,History,4,0,23,Yes
291,1,Girl,12,164,7,18,6,English language,5,5,23,Yes
292,1,Girl,11,167,7,18,9,English language,8,0,23,Yes
293,1,Girl,13,160,0,23,2,Art,5,0,23,Yes
294,1,Girl,12,167,4,9,2,History,6,0,23,Yes
295,1,Girl,13,160,0,23,1,Geography,5,0,23,Yes
296,1,Boy,13,162,4,30,25,History,8,0,23,Brought something
297,1,Boy,12,160,4,15,10,Engineering,0,10,23,Yes
298,1,Boy,13,160,13,11,4,Sports,6,0,23,Yes
299,1,Boy,12,164,9,10,2,Mathematics,7,0,23,Yes
300,1,Boy,13,162,5,27,32,Engineering,6,0,23,Yes
301,1,Girl,12,162,8,13,5,French language,5,5,23,Yes
302,1,Girl,12,160,5,9,3,English language,10,0,23,Yes
303,1,Girl,12,182,5,7,40,Other,5,0,23,Yes
304,1,Girl,12,165,3,7,10,Mathematics,23,0,23,Yes
305,1,Girl,12,168,1,14,2,Mathematics,25,0,23,Yes
306,1,Girl,12,158,2,14,2,Nursing,53,0,23,Yes
307,1,Girl,12,158,2,14,1,Nursing,3,0,23,Yes
308,1,Girl,13,157,3,16,5,Nursing,6,0,23,Yes
309,1,Girl,12,158,3,16,4,Sports,5,0,23,Yes
310,1,Girl,13,160,4,13,2,Sports,5,0,23,Yes
311,1,Girl,12,162,4,12,5,Nursing,5,0,23,Yes
